nodename,batch,timestamp,task,data,in_rows,question,out_rows,out_cols,solution,version,git,fun,run,time_sec,mem_gb,cache,chk,chk_time_sec,comment,on_disk
ip-172-31-31-147,1717777895,1717778041,groupby,G1_1e7_1e2_0_1,10000000,regression v1 v2 by id2 id4,10000,3,collapse,2.0.14,,group_by,2,0.48,NA,TRUE,9.838641,0,NA,FALSE
ip-172-31-31-147,1717777895,1717778042,groupby,G1_1e7_1e2_0_1,10000000,sum v3 count by id1:id6,10000000,8,collapse,2.0.14,,group_by,1,0.304,NA,TRUE,499976651;10000000,0.002,NA,FALSE
ip-172-31-31-147,1717777895,1717778042,groupby,G1_1e7_1e2_0_1,10000000,sum v3 count by id1:id6,10000000,8,collapse,2.0.14,,group_by,2,0.291,NA,TRUE,499976651;10000000,0.002,NA,FALSE
ip-172-31-31-147,1717778127,1717778134,groupby,G1_1e7_1e2_0_0,10000000,sum v1 by id1,100,2,collapse,2.0.14,,group_by,1,0.041,NA,TRUE,29998789,0,NA,FALSE
ip-172-31-31-147,1717778127,1717778134,groupby,G1_1e7_1e2_0_0,10000000,sum v1 by id1,100,2,collapse,2.0.14,,group_by,2,0.039,NA,TRUE,29998789,0,NA,FALSE
ip-172-31-31-147,1717778127,1717778134,groupby,G1_1e7_1e2_0_0,10000000,sum v1 by id1:id2,10000,3,collapse,2.0.14,,group_by,1,0.044,NA,TRUE,29998789,0.001,NA,FALSE
ip-172-31-31-147,1717778127,1717778134,groupby,G1_1e7_1e2_0_0,10000000,sum v1 by id1:id2,10000,3,collapse,2.0.14,,group_by,2,0.044,NA,TRUE,29998789,0.001,NA,FALSE
ip-172-31-31-147,1717778127,1717778134,groupby,G1_1e7_1e2_0_0,10000000,sum v1 mean v3 by id3,100000,3,collapse,2.0.14,,group_by,1,0.069,NA,TRUE,29998789;4999720,0,NA,FALSE
ip-172-31-31-147,1717778127,1717778134,groupby,G1_1e7_1e2_0_0,10000000,sum v1 mean v3 by id3,100000,3,collapse,2.0.14,,group_by,2,0.069,NA,TRUE,29998789;4999720,0,NA,FALSE
ip-172-31-31-147,1717778127,1717778134,groupby,G1_1e7_1e2_0_0,10000000,mean v1:v3 by id4,100,4,collapse,2.0.14,,group_by,1,0.05,NA,TRUE,299.988;799.8942;4999.767,0.002,NA,FALSE
ip-172-31-31-147,1717778127,1717778135,groupby,G1_1e7_1e2_0_0,10000000,mean v1:v3 by id4,100,4,collapse,2.0.14,,group_by,2,0.049,NA,TRUE,299.988;799.8942;4999.767,0.002,NA,FALSE
ip-172-31-31-147,1717778127,1717778135,groupby,G1_1e7_1e2_0_0,10000000,sum v1:v3 by id6,100000,4,collapse,2.0.14,,group_by,1,0.098,NA,TRUE,29998789;79989360;499976651,0.002,NA,FALSE
ip-172-31-31-147,1717778127,1717778135,groupby,G1_1e7_1e2_0_0,10000000,sum v1:v3 by id6,100000,4,collapse,2.0.14,,group_by,2,0.099,NA,TRUE,29998789;79989360;499976651,0.001,NA,FALSE
ip-172-31-31-147,1717778127,1717778135,groupby,G1_1e7_1e2_0_0,10000000,median v3 sd v3 by id4 id5,10000,4,collapse,2.0.14,,group_by,1,0.191,NA,TRUE,499920.1;288648.1,0.001,NA,FALSE
ip-172-31-31-147,1717778127,1717778135,groupby,G1_1e7_1e2_0_0,10000000,median v3 sd v3 by id4 id5,10000,4,collapse,2.0.14,,group_by,2,0.194,NA,TRUE,499920.1;288648.1,0,NA,FALSE
ip-172-31-31-147,1717778127,1717778136,groupby,G1_1e7_1e2_0_0,10000000,max v1 - min v2 by id3,100000,2,collapse,2.0.14,,group_by,1,0.094,NA,TRUE,399882,0.001,NA,FALSE
ip-172-31-31-147,1717778127,1717778136,groupby,G1_1e7_1e2_0_0,10000000,max v1 - min v2 by id3,100000,2,collapse,2.0.14,,group_by,2,0.067,NA,TRUE,399882,0.001,NA,FALSE
ip-172-31-31-147,1717778127,1717778136,groupby,G1_1e7_1e2_0_0,10000000,largest two v3 by id6,200000,2,collapse,2.0.14,,group_by,1,0.194,NA,TRUE,19700451,0,NA,FALSE
ip-172-31-31-147,1717778127,1717778136,groupby,G1_1e7_1e2_0_0,10000000,largest two v3 by id6,200000,2,collapse,2.0.14,,group_by,2,0.189,NA,TRUE,19700451,0,NA,FALSE
ip-172-31-31-147,1717778127,1717778137,groupby,G1_1e7_1e2_0_0,10000000,regression v1 v2 by id2 id4,10000,3,collapse,2.0.14,,group_by,1,0.66,NA,TRUE,9.838641,0,NA,FALSE
ip-172-31-31-147,1717778127,1717778138,groupby,G1_1e7_1e2_0_0,10000000,regression v1 v2 by id2 id4,10000,3,collapse,2.0.14,,group_by,2,0.62,NA,TRUE,9.838641,0,NA,FALSE
ip-172-31-31-147,1717778127,1717778139,groupby,G1_1e7_1e2_0_0,10000000,sum v3 count by id1:id6,10000000,8,collapse,2.0.14,,group_by,1,1.045,NA,TRUE,499976651;10000000,0.002,NA,FALSE
ip-172-31-31-147,1717778127,1717778140,groupby,G1_1e7_1e2_0_0,10000000,sum v3 count by id1:id6,10000000,8,collapse,2.0.14,,group_by,2,1.052,NA,TRUE,499976651;10000000,0.001,NA,FALSE
ip-172-31-31-147,1717778127,1717778213,join,J1_1e7_NA_0_0,10000000,small inner on int,8998860,9,collapse,2.0.14,,inner_join,1,0.369,NA,TRUE,450015154;347720187,0.014,NA,FALSE
ip-172-31-31-147,1717778127,1717778218,join,J1_1e7_NA_0_0,10000000,small inner on int,8998860,9,collapse,2.0.14,,inner_join,2,0.283,NA,TRUE,450015154;347720187,0.013,NA,FALSE
ip-172-31-31-147,1717778127,1717778223,join,J1_1e7_NA_0_0,10000000,medium inner on int,8998412,11,collapse,2.0.14,,inner_join,1,0.43,NA,TRUE,449954076;449999845,0.014,NA,FALSE
ip-172-31-31-147,1717778127,1717778229,join,J1_1e7_NA_0_0,10000000,medium inner on int,8998412,11,collapse,2.0.14,,inner_join,2,0.428,NA,TRUE,449954076;449999845,0.013,NA,FALSE
ip-172-31-31-147,1717778127,1717778234,join,J1_1e7_NA_0_0,10000000,medium outer on int,10000000,11,collapse,2.0.14,,left_join,1,0.291,NA,TRUE,500043741;449999845,0.016,NA,FALSE
ip-172-31-31-147,1717778127,1717778239,join,J1_1e7_NA_0_0,10000000,medium outer on int,10000000,11,collapse,2.0.14,,left_join,2,0.293,NA,TRUE,500043741;449999845,0.016,NA,FALSE
ip-172-31-31-147,1717778127,1717778244,join,J1_1e7_NA_0_0,10000000,medium inner on factor,8998412,11,collapse,2.0.14,,inner_join,1,0.305,NA,TRUE,449954076;449999845,0.014,NA,FALSE
ip-172-31-31-147,1717778127,1717778249,join,J1_1e7_NA_0_0,10000000,medium inner on factor,8998412,11,collapse,2.0.14,,inner_join,2,0.323,NA,TRUE,449954076;449999845,0.014,NA,FALSE
ip-172-31-31-147,1717778127,1717778255,join,J1_1e7_NA_0_0,10000000,big inner on int,9000000,13,collapse,2.0.14,,inner_join,1,1.129,NA,TRUE,450032092;449860429,0.014,NA,FALSE
ip-172-31-31-147,1717778127,1717778261,join,J1_1e7_NA_0_0,10000000,big inner on int,9000000,13,collapse,2.0.14,,inner_join,2,1.072,NA,TRUE,450032092;449860429,0.014,NA,FALSE
ip-172-31-31-147,1717778127,1717778280,groupby,G1_1e7_1e2_0_0,10000000,sum v1 by id1,100,2,data.table,1.15.99,ca815babe422621724a52507c00c378090843f1e,[.data.table,1,0.059,NA,TRUE,29998789,0.001,NA,FALSE
ip-172-31-31-147,1717778127,1717778280,groupby,G1_1e7_1e2_0_0,10000000,sum v1 by id1,100,2,data.table,1.15.99,ca815babe422621724a52507c00c378090843f1e,[.data.table,2,0.059,NA,TRUE,29998789,0,NA,FALSE
ip-172-31-31-147,1717778127,1717778280,groupby,G1_1e7_1e2_0_0,10000000,sum v1 by id1:id2,10000,3,data.table,1.15.99,ca815babe422621724a52507c00c378090843f1e,[.data.table,1,0.086,NA,TRUE,29998789,0,NA,FALSE
ip-172-31-31-147,1717778127,1717778280,groupby,G1_1e7_1e2_0_0,10000000,sum v1 by id1:id2,10000,3,data.table,1.15.99,ca815babe422621724a52507c00c378090843f1e,[.data.table,2,0.08,NA,TRUE,29998789,0.001,NA,FALSE
ip-172-31-31-147,1717778127,1717778280,groupby,G1_1e7_1e2_0_0,10000000,sum v1 mean v3 by id3,100000,3,data.table,1.15.99,ca815babe422621724a52507c00c378090843f1e,[.data.table,1,0.067,NA,TRUE,29998789;4999720,0.001,NA,FALSE
ip-172-31-31-147,1717778127,1717778281,groupby,G1_1e7_1e2_0_0,10000000,sum v1 mean v3 by id3,100000,3,data.table,1.15.99,ca815babe422621724a52507c00c378090843f1e,[.data.table,2,0.068,NA,TRUE,29998789;4999720,0.001,NA,FALSE
ip-172-31-31-147,1717778127,1717778281,groupby,G1_1e7_1e2_0_0,10000000,mean v1:v3 by id4,100,4,data.table,1.15.99,ca815babe422621724a52507c00c378090843f1e,[.data.table,1,0.21,NA,TRUE,299.988;799.8942;4999.767,0.001,NA,FALSE
ip-172-31-31-147,1717778127,1717778281,groupby,G1_1e7_1e2_0_0,10000000,mean v1:v3 by id4,100,4,data.table,1.15.99,ca815babe422621724a52507c00c378090843f1e,[.data.table,2,0.16,NA,TRUE,299.988;799.8942;4999.767,0.001,NA,FALSE
ip-172-31-31-147,1717778127,1717778281,groupby,G1_1e7_1e2_0_0,10000000,sum v1:v3 by id6,100000,4,data.table,1.15.99,ca815babe422621724a52507c00c378090843f1e,[.data.table,1,0.07,NA,TRUE,29998789;79989360;499976651,0.002,NA,FALSE
ip-172-31-31-147,1717778127,1717778281,groupby,G1_1e7_1e2_0_0,10000000,sum v1:v3 by id6,100000,4,data.table,1.15.99,ca815babe422621724a52507c00c378090843f1e,[.data.table,2,0.07,NA,TRUE,29998789;79989360;499976651,0.001,NA,FALSE
ip-172-31-31-147,1717778127,1717778282,groupby,G1_1e7_1e2_0_0,10000000,median v3 sd v3 by id4 id5,10000,4,data.table,1.15.99,ca815babe422621724a52507c00c378090843f1e,[.data.table,1,0.393,NA,TRUE,499920.1;288648.1,0,NA,FALSE
ip-172-31-31-147,1717778127,1717778282,groupby,G1_1e7_1e2_0_0,10000000,median v3 sd v3 by id4 id5,10000,4,data.table,1.15.99,ca815babe422621724a52507c00c378090843f1e,[.data.table,2,0.393,NA,TRUE,499920.1;288648.1,0.001,NA,FALSE
